Round,Seed,Model,Stage,Start_Time,End_Time,Duration_Sec,cpu_active_mean,ram_used_mean
2,5771,XGBoost,Inference,2025-12-02 05:25:59.326260,2025-12-02 05:26:01.050843,1.724573850631714,86.466841,26128.995
2,5771,LightGBM,Training,2025-12-02 05:26:05.491020,2025-12-02 05:28:50.949281,165.45824480056763,85.06949066265061,26879.60186746988
2,5771,LightGBM,Inference,2025-12-02 05:28:50.949297,2025-12-02 05:28:55.171235,4.221928834915161,95.28196500000001,25864.425
2,5771,CatBoost,Training,2025-12-02 05:28:59.561099,2025-12-02 05:42:32.834972,813.2738580703735,3.0642370417690414,27091.506633906632
2,5771,CatBoost,Inference,2025-12-02 05:42:32.834987,2025-12-02 05:42:36.442544,3.607547283172608,16.4283985,26594.137499999997
2,5771,Ensemble_Stacking,Training,2025-12-02 05:42:40.701200,2025-12-02 07:32:50.343476,6609.642255783081,33.17854753585477,34922.2081907795
2,5771,Ensemble_Stacking,Inference,2025-12-02 07:32:50.343497,2025-12-02 07:33:02.822959,12.479452848434448,50.22729511666666,27432.09833333333
3,7128,Dummy,Training,2025-12-02 07:33:48.502769,2025-12-02 07:33:48.997829,0.4950380325317383,,
3,7128,Dummy,Inference,2025-12-02 07:33:48.997841,2025-12-02 07:33:49.007021,0.0091738700866699,,
3,7128,KNN,Training,2025-12-02 07:33:52.553764,2025-12-02 07:33:53.731682,1.1779024600982666,,
3,7128,KNN,Inference,2025-12-02 07:33:53.731697,2025-12-02 09:17:23.637857,6209.906152486801,96.51335041037036,26696.39992592593
3,7128,DecisionTree,Training,2025-12-02 09:17:27.356102,2025-12-02 09:18:12.642308,45.28619074821472,1.6426673999999999,27513.492173913048
3,7128,DecisionTree,Inference,2025-12-02 09:18:12.642323,2025-12-02 09:18:12.926060,0.2837276458740234,,
3,7128,RandomForest,Training,2025-12-02 09:18:17.018700,2025-12-02 09:21:13.970643,176.95192861557007,73.36380552045453,64837.03761363637
3,7128,RandomForest,Inference,2025-12-02 09:21:13.970656,2025-12-02 09:21:16.254029,2.283362865447998,22.26363385,27943.8875
3,7128,XGBoost,Training,2025-12-02 09:21:20.372171,2025-12-02 09:26:30.305919,309.93373370170593,74.2755199683871,26817.633387096772
3,7128,XGBoost,Inference,2025-12-02 09:26:30.305934,2025-12-02 09:26:32.023027,1.7170846462249756,71.43485940000001,26712.405
3,7128,LightGBM,Training,2025-12-02 09:26:36.540802,2025-12-02 09:29:06.877651,150.33683586120603,85.35191121866667,27080.3884
3,7128,LightGBM,Inference,2025-12-02 09:29:06.877666,2025-12-02 09:29:11.291471,4.413796663284302,95.5319329,26752.8575
3,7128,CatBoost,Training,2025-12-02 09:29:15.471614,2025-12-02 09:42:41.642972,806.1713440418243,2.9082380786600495,27793.61188585608
3,7128,CatBoost,Inference,2025-12-02 09:42:41.642984,2025-12-02 09:42:45.206961,3.563969373703003,10.825406950000001,28218.96
3,7128,Ensemble_Stacking,Training,2025-12-02 09:42:49.413615,2025-12-02 11:32:30.532904,6581.119271993637,33.13176633670617,34520.546554238834
3,7128,Ensemble_Stacking,Inference,2025-12-02 11:32:30.532929,2025-12-02 11:32:42.722989,12.1900532245636,50.28668501666667,29268.648333333334
4,3368,Dummy,Training,2025-12-02 11:33:27.861112,2025-12-02 11:33:28.346093,0.4849591255187988,1.617693,25860.26
4,3368,Dummy,Inference,2025-12-02 11:33:28.346107,2025-12-02 11:33:28.354864,0.0087509155273437,,
4,3368,KNN,Training,2025-12-02 11:33:31.873799,2025-12-02 11:33:33.046907,1.1730937957763672,1.6175658999999998,26386.235
4,3368,KNN,Inference,2025-12-02 11:33:33.046920,2025-12-02 13:15:47.987894,6134.940965652466,97.56407997642647,27424.513730029343
4,3368,DecisionTree,Training,2025-12-02 13:15:51.690481,2025-12-02 13:16:45.243720,53.55322289466858,1.6357462703703705,28391.086111111115
4,3368,DecisionTree,Inference,2025-12-02 13:16:45.243736,2025-12-02 13:16:45.463517,0.2197697162628173,,
4,3368,RandomForest,Training,2025-12-02 13:16:49.125405,2025-12-02 13:19:58.460423,189.33500289916992,72.93166859894737,65024.08647368421
4,3368,RandomForest,Inference,2025-12-02 13:19:58.460437,2025-12-02 13:20:00.844069,2.383625030517578,42.2807659,30908.21
4,3368,XGBoost,Training,2025-12-02 13:20:04.928032,2025-12-02 13:24:16.174867,251.24681901931763,85.80067691587301,27554.391706349204
4,3368,XGBoost,Inference,2025-12-02 13:24:16.174880,2025-12-02 13:24:17.880612,1.7057230472564695,,
4,3368,LightGBM,Training,2025-12-02 13:24:22.033172,2025-12-02 13:26:42.807367,140.77418088912964,86.21443736571429,27554.465214285716
4,3368,LightGBM,Inference,2025-12-02 13:26:42.807382,2025-12-02 13:26:47.142989,4.335598707199097,96.1373517,27554.739999999998
4,3368,CatBoost,Training,2025-12-02 13:26:51.315886,2025-12-02 13:40:10.762313,799.446412563324,2.9640631867500002,28606.759575000004
4,3368,CatBoost,Inference,2025-12-02 13:40:10.762328,2025-12-02 13:40:14.943496,4.181161165237427,3.6561592000000003,29417.665
4,3368,Ensemble_Stacking,Training,2025-12-02 13:40:19.331926,2025-12-02 15:29:09.299590,6529.967643260956,33.25879949782542,34711.494234303216
4,3368,Ensemble_Stacking,Inference,2025-12-02 15:29:09.299614,2025-12-02 15:29:21.315348,12.01572608947754,48.51653698333334,30163.502500000002
5,7080,Dummy,Training,2025-12-02 15:30:06.123725,2025-12-02 15:30:06.609780,0.4860315322875976,,
5,7080,Dummy,Inference,2025-12-02 15:30:06.609794,2025-12-02 15:30:06.618593,0.0087933540344238,,
5,7080,KNN,Training,2025-12-02 15:30:10.120896,2025-12-02 15:30:11.297859,1.1769495010375977,,
5,7080,KNN,Inference,2025-12-02 15:30:11.297873,2025-12-02 17:14:35.332839,6264.034958124161,95.74622173748405,28397.189583333336
5,7080,DecisionTree,Training,2025-12-02 17:14:38.985296,2025-12-02 17:15:36.085324,57.10001230239868,1.6366747689655172,29366.794482758625
5,7080,DecisionTree,Inference,2025-12-02 17:15:36.085338,2025-12-02 17:15:36.357796,0.2724494934082031,,
5,7080,RandomForest,Training,2025-12-02 17:15:40.360402,2025-12-02 17:18:46.831466,186.47105073928836,73.88990520430107,66604.20978494623
5,7080,RandomForest,Inference,2025-12-02 17:18:46.831479,2025-12-02 17:18:49.095262,2.2637734413146973,38.524877100000005,30624.61
5,7080,XGBoost,Training,2025-12-02 17:18:53.637684,2025-12-02 17:23:25.190396,271.55269718170166,84.65072491985293,28589.32617647059
5,7080,XGBoost,Inference,2025-12-02 17:23:25.190436,2025-12-02 17:23:26.950571,1.7601265907287598,90.59956399999999,28589.22
5,7080,LightGBM,Training,2025-12-02 17:23:31.277165,2025-12-02 17:25:50.072857,138.7956781387329,86.19757198999999,28589.2105
5,7080,LightGBM,Inference,2025-12-02 17:25:50.072870,2025-12-02 17:25:54.433994,4.361114740371704,86.6274128,28589.2575
5,7080,CatBoost,Training,2025-12-02 17:25:58.715768,2025-12-02 17:39:22.594361,803.8785789012909,2.9642225644278613,29621.487972636813
5,7080,CatBoost,Inference,2025-12-02 17:39:22.594374,2025-12-02 17:39:26.393894,3.799510717391968,14.83610255,29711.9825
5,7080,Ensemble_Stacking,Training,2025-12-02 17:39:30.638558,2025-12-02 19:27:32.956643,6482.318064928055,32.99281975924097,34955.067780006175
5,7080,Ensemble_Stacking,Inference,2025-12-02 19:27:32.956665,2025-12-02 19:27:45.592489,12.635814428329468,47.57524108333334,30413.457500000004
6,5096,Dummy,Training,2025-12-02 19:28:32.707866,2025-12-02 19:28:33.201844,0.4939563274383545,,
6,5096,Dummy,Inference,2025-12-02 19:28:33.201857,2025-12-02 19:28:33.211709,0.0098443031311035,,
6,5096,KNN,Training,2025-12-02 19:28:36.768826,2025-12-02 19:28:37.950712,1.1818714141845703,,
6,5096,KNN,Inference,2025-12-02 19:28:37.950728,2025-12-02 21:12:35.639705,6237.688969373703,95.68165095402372,29084.204967938444
6,5096,DecisionTree,Training,2025-12-02 21:12:39.659380,2025-12-02 21:13:40.959367,61.29997110366821,1.6389540451612907,30052.524838709684
6,5096,DecisionTree,Inference,2025-12-02 21:13:40.959382,2025-12-02 21:13:41.176656,0.2172639369964599,,
6,5096,RandomForest,Training,2025-12-02 21:13:44.878224,2025-12-02 21:16:39.139337,174.26109838485718,74.29479909425288,67651.063908046
6,5096,RandomForest,Inference,2025-12-02 21:16:39.139351,2025-12-02 21:16:41.356696,2.217336654663086,33.133357,30940.155
6,5096,XGBoost,Training,2025-12-02 21:16:45.390911,2025-12-02 21:21:11.782400,266.3914747238159,86.21619513609022,29265.82097744361
6,5096,XGBoost,Inference,2025-12-02 21:21:11.782441,2025-12-02 21:21:13.489853,1.7074031829833984,90.07438710000001,29264.535
6,5096,LightGBM,Training,2025-12-02 21:21:17.968295,2025-12-02 21:23:38.031616,140.06330633163452,86.47990790985916,29263.938098591552
6,5096,LightGBM,Inference,2025-12-02 21:23:38.031629,2025-12-02 21:23:42.392450,4.360811948776245,85.47450035,29264.32
6,5096,CatBoost,Training,2025-12-02 21:23:46.591796,2025-12-02 21:37:15.817006,809.2251958847046,3.012016752722772,30340.05945544554
6,5096,CatBoost,Inference,2025-12-02 21:37:15.817020,2025-12-02 21:37:19.453142,3.636113166809082,24.93910345,33941.4775
6,5096,Ensemble_Stacking,Training,2025-12-02 21:37:23.678475,2025-12-02 23:26:38.428928,6554.750430822372,33.04223320774862,35376.90566503966
6,5096,Ensemble_Stacking,Inference,2025-12-02 23:26:38.428952,2025-12-02 23:26:50.824264,12.395302772521973,44.02037945000001,32418.365000000005
7,8038,Dummy,Training,2025-12-02 23:27:48.718331,2025-12-02 23:27:49.333757,0.6154048442840576,,
7,8038,Dummy,Inference,2025-12-02 23:27:49.333772,2025-12-02 23:27:49.347614,0.0138370990753173,,
7,8038,KNN,Training,2025-12-02 23:27:53.259734,2025-12-02 23:27:54.769165,1.509415626525879,1.6252515,29343.375
7,8038,KNN,Inference,2025-12-02 23:27:54.769177,2025-12-03 00:52:18.620531,5063.851345777512,97.80183788475513,30347.83045221169
7,8038,DecisionTree,Training,2025-12-03 00:52:22.693057,2025-12-03 00:53:21.367347,58.67427396774292,1.6388220482758622,31332.79948275862
7,8038,DecisionTree,Inference,2025-12-03 00:53:21.367364,2025-12-03 00:53:21.633027,0.2656540870666504,,
7,8038,RandomForest,Training,2025-12-03 00:53:25.722064,2025-12-03 00:56:39.814191,194.0921115875244,69.96253204536082,66555.50613402062
7,8038,RandomForest,Inference,2025-12-03 00:56:39.814204,2025-12-03 00:56:42.176562,2.3623509407043457,22.568463,31865.9725
7,8038,XGBoost,Training,2025-12-03 00:56:46.801069,2025-12-03 01:00:55.420797,248.61971402168277,84.73814988548386,30454.583185483865
7,8038,XGBoost,Inference,2025-12-03 01:00:55.420812,2025-12-03 01:00:56.727191,1.3063726425170898,90.749946,30458.5
7,8038,LightGBM,Training,2025-12-03 01:01:01.334256,2025-12-03 01:03:23.304772,141.9705023765564,85.44280296056338,30475.430281690144
7,8038,LightGBM,Inference,2025-12-03 01:03:23.304799,2025-12-03 01:03:26.634072,3.3292627334594727,95.2436531,30474.39
7,8038,CatBoost,Training,2025-12-03 01:03:30.876521,2025-12-03 01:16:49.223961,798.3474259376526,3.042910040350877,31579.629699248122
7,8038,CatBoost,Inference,2025-12-03 01:16:49.223980,2025-12-03 01:16:52.644059,3.4200708866119385,12.323633000000001,30953.7725
