Round,Seed,Model,Stage,Start_Time,End_Time,Duration_Sec
7,8038,Dummy,Inference,2025-12-02 23:27:49.333772,2025-12-02 23:27:49.347614,0.013837099075317383
7,8038,KNN,Training,2025-12-02 23:27:53.259734,2025-12-02 23:27:54.769165,1.509415626525879
7,8038,KNN,Inference,2025-12-02 23:27:54.769177,2025-12-03 00:52:18.620531,5063.851345777512
7,8038,DecisionTree,Training,2025-12-03 00:52:22.693057,2025-12-03 00:53:21.367347,58.67427396774292
7,8038,DecisionTree,Inference,2025-12-03 00:53:21.367364,2025-12-03 00:53:21.633027,0.2656540870666504
7,8038,RandomForest,Training,2025-12-03 00:53:25.722064,2025-12-03 00:56:39.814191,194.0921115875244
7,8038,RandomForest,Inference,2025-12-03 00:56:39.814204,2025-12-03 00:56:42.176562,2.3623509407043457
7,8038,XGBoost,Training,2025-12-03 00:56:46.801069,2025-12-03 01:00:55.420797,248.61971402168274
7,8038,XGBoost,Inference,2025-12-03 01:00:55.420812,2025-12-03 01:00:56.727191,1.3063726425170898
7,8038,LightGBM,Training,2025-12-03 01:01:01.334256,2025-12-03 01:03:23.304772,141.9705023765564
7,8038,LightGBM,Inference,2025-12-03 01:03:23.304799,2025-12-03 01:03:26.634072,3.3292627334594727
7,8038,CatBoost,Training,2025-12-03 01:03:30.876521,2025-12-03 01:16:49.223961,798.3474259376526
7,8038,CatBoost,Inference,2025-12-03 01:16:49.223980,2025-12-03 01:16:52.644059,3.4200708866119385
7,8038,Ensemble_Stacking,Training,2025-12-03 01:16:56.881886,2025-12-03 03:02:46.746925,6349.865020036697
7,8038,Ensemble_Stacking,Inference,2025-12-03 03:02:46.746950,2025-12-03 03:02:58.121074,11.374115228652954
8,9789,Dummy,Training,2025-12-03 03:03:44.717183,2025-12-03 03:03:45.214399,0.497194766998291
8,9789,Dummy,Inference,2025-12-03 03:03:45.214412,2025-12-03 03:03:45.223143,0.00872492790222168
8,9789,KNN,Training,2025-12-03 03:03:48.807327,2025-12-03 03:03:50.013198,1.2058565616607666
8,9789,KNN,Inference,2025-12-03 03:03:50.013214,2025-12-03 04:28:14.331429,5064.318206071854
8,9789,DecisionTree,Training,2025-12-03 04:28:18.046131,2025-12-03 04:29:33.148870,75.10272264480591
8,9789,DecisionTree,Inference,2025-12-03 04:29:33.148888,2025-12-03 04:29:33.440635,0.29173755645751953
8,9789,RandomForest,Training,2025-12-03 04:29:37.575693,2025-12-03 04:32:38.557594,180.98188400268555
8,9789,RandomForest,Inference,2025-12-03 04:32:38.557608,2025-12-03 04:32:40.885489,2.327873945236206
8,9789,XGBoost,Training,2025-12-03 04:32:45.013567,2025-12-03 04:37:04.693779,259.6801974773407
8,9789,XGBoost,Inference,2025-12-03 04:37:04.693793,2025-12-03 04:37:05.923538,1.2297372817993164
8,9789,LightGBM,Training,2025-12-03 04:37:10.139324,2025-12-03 04:39:31.130173,140.99083399772644
8,9789,LightGBM,Inference,2025-12-03 04:39:31.130186,2025-12-03 04:39:35.232718,4.102522373199463
8,9789,CatBoost,Training,2025-12-03 04:39:39.483623,2025-12-03 04:53:04.398643,804.9150059223175
8,9789,CatBoost,Inference,2025-12-03 04:53:04.398656,2025-12-03 04:53:08.023058,3.624392509460449
8,9789,Ensemble_Stacking,Training,2025-12-03 04:53:12.240156,2025-12-03 06:42:44.650466,6572.410290956497
8,9789,Ensemble_Stacking,Inference,2025-12-03 06:42:44.650714,2025-12-03 06:42:55.174525,10.523801803588867
9,4070,Dummy,Training,2025-12-03 06:43:40.911511,2025-12-03 06:43:41.405334,0.4938035011291504
9,4070,Dummy,Inference,2025-12-03 06:43:41.405350,2025-12-03 06:43:41.414666,0.009311199188232422
9,4070,KNN,Training,2025-12-03 06:43:44.955701,2025-12-03 06:43:46.150257,1.1945405006408691
9,4070,KNN,Inference,2025-12-03 06:43:46.150272,2025-12-03 08:07:53.850489,5047.700209617615
9,4070,DecisionTree,Training,2025-12-03 08:07:57.766376,2025-12-03 08:08:52.233682,54.467291593551636
9,4070,DecisionTree,Inference,2025-12-03 08:08:52.233700,2025-12-03 08:08:52.444539,0.21082806587219238
9,4070,RandomForest,Training,2025-12-03 08:08:56.183498,2025-12-03 08:11:50.128727,173.94521570205688
9,4070,RandomForest,Inference,2025-12-03 08:11:50.128739,2025-12-03 08:11:52.429244,2.3004963397979736
9,4070,XGBoost,Training,2025-12-03 08:11:56.544128,2025-12-03 08:16:32.243765,275.6996212005615
9,4070,XGBoost,Inference,2025-12-03 08:16:32.243778,2025-12-03 08:16:33.649135,1.405348777770996
