Iteracao,Seed,Modelo,F1_Score,Accuracy,Precision,Recall,ROC_AUC,Train_Time_sec,Infer_Model_ms_per_1k,Feat_Eng_ms_per_1k,Total_Latency_ms_per_1k
3,7128,CatBoost,0.7260186881935281,0.9871568772802222,0.5999046467072212,0.9192710447276564,0.9951273761884584,806.1713440418243,0.8925471605794802,134.6299143631973,135.52246152377677
3,7128,Ensemble_Stacking,0.6975771133306027,0.9879808125755065,0.6528703365140774,0.7488567795005006,0.995248801429252,6581.119271993637,3.0528313383322745,134.6299143631973,137.68274570152957
4,3368,Dummy,0.0,0.9814892542809575,0.0,0.0,0.5,0.48495912551879883,0.002191546555936379,134.6299143631973,134.63210590975322
4,3368,KNN,0.6313742437337942,0.9863281836959984,0.6302337494270848,0.6325188732851692,0.9673408771981999,1.1730937957763672,1536.4116705432027,134.6299143631973,1671.0415849064
4,3368,DecisionTree,0.6815208687017522,0.9875500622083669,0.6472420632506297,0.719633628270693,0.9949113137296474,53.55322289466858,0.05503830579439819,134.6299143631973,134.68495266899168
4,3368,RandomForest,0.6828891463885669,0.9876635098341311,0.651388991231302,0.7175907135319425,0.9951466107592716,189.33500289916992,0.5969461378014447,134.6299143631973,135.22686050099873
4,3368,XGBoost,0.727006287967601,0.9871701504020003,0.5997133965150423,0.9228968801580215,0.9951040203768657,251.24681901931763,0.42717490049077234,134.6299143631973,135.05708926368806
4,3368,LightGBM,0.7286765017592947,0.9871771626172793,0.5989215839997213,0.9302026679654734,0.9952286071400633,140.77418088912964,1.0857911249394185,134.6299143631973,135.7157054881367
4,3368,CatBoost,0.7251456352265913,0.987144105030964,0.600040760628777,0.9161593202911492,0.995097559710137,799.446412563324,1.0471143645323722,134.6299143631973,135.67702872772966
4,3368,Ensemble_Stacking,0.6986630915537958,0.9879540158956903,0.6505927101320763,0.7544037665394918,0.9952470596485723,6529.967643260956,3.009173502610933,134.6299143631973,137.63908786580822
5,7080,Dummy,0.0,0.9814892542809575,0.0,0.0,0.5,0.48603153228759766,0.002202174696928006,134.6299143631973,134.6321165378942
5,7080,KNN,0.6304933342356365,0.9863256793333988,0.6307409012131716,0.6302459615228508,0.9670362845951096,1.1769495010375977,1568.7414872017455,134.6299143631973,1703.3714015649427
5,7080,DecisionTree,0.6918711060989813,0.9874779365654971,0.635317285166197,0.7594772302946667,0.9947155217326159,57.10001230239868,0.06823123215847084,134.6299143631973,134.69814559535575
5,7080,RandomForest,0.6769594483664423,0.9876807899360687,0.6577506667857735,0.6973239169846037,0.9951516351710954,186.47105073928833,0.5669309540506304,134.6299143631973,135.196845317247925,7080,XGBoost,0.7281327402988255,0.9872179837276536,0.6004867291624568,0.9246962686365235,0.9951836203476851,271.55269718170166,0.44079952044680826,134.6299143631973,135.0707138836441
5,7080,LightGBM,0.7291665560646199,0.9872239941978928,0.6000401925748586,0.9291067997943556,0.9952400668248758,138.7956781387329,1.0921812648563058,134.6299143631973,135.72209562805358
5,7080,CatBoost,0.725917756589056,0.987178915671099,0.6006396569595918,0.917228129988906,0.9951235241019953,803.8785789012909,0.9515352537600419,134.6299143631973,135.58144961695731
5,7080,Ensemble_Stacking,0.7000018734660997,0.9879692925075482,0.6500574132711646,0.7582595989934248,0.9952452669233409,6482.318064928055,3.1644661070408318,134.6299143631973,137.7943804702381
6,5096,Dummy,0.0,0.9814892542809575,0.0,0.0,0.5,0.4939563274383545,0.0024653704581139133,134.6299143631973,134.6323797336554
6,5096,KNN,0.633233957020869,0.9863822779281508,0.631402668675347,0.6350758990177774,0.9665793412782753,1.1818714141845703,1562.1434963140046,134.6299143631973,1696.7734106772018
6,5096,DecisionTree,0.6833704480801163,0.9876795377547688,0.6517186349128407,0.7182536461292854,0.9948610261337746,61.29997110366821,0.05441076780663415,134.6299143631973,134.684325131003936,5096,RandomForest,0.6863244564518203,0.9877877262190736,0.6542074411988326,0.7217577184295262,0.9952060379993453,174.26109838485718,0.5553014988768149,134.6299143631973,135.1852158620741
6,5096,XGBoost,0.7284699654751041,0.9872565509116882,0.6014609602862002,0.9234786373352816,0.9951685328377274,266.3914747238159,0.4275956673984577,134.6299143631973,135.05751003059575
6,5096,LightGBM,0.7299295699725514,0.9872853510815841,0.6014429230148851,0.9282273994101253,0.9952752074999326,140.06330633163452,1.0921054348615902,134.6299143631973,135.72201979805888
6,5096,CatBoost,0.7271619063913513,0.9872202376539932,0.6011492220650636,0.9200151527450822,0.9951583985518534,809.2251958847046,0.9106145823046452,134.6299143631973,135.54052894550193
6,5096,Ensemble_Stacking,0.701986507447067,0.9880188788870212,0.6505039310082084,0.7623183699975647,0.9952854936218016,6554.750430822372,3.104233267482447,134.6299143631973,137.73414763067973
7,8038,Dummy,0.0,0.9814892542809575,0.0,0.0,0.5,0.6154048442840576,0.0034653113411856912,134.6299143631973,134.63337967453847
7,8038,KNN,0.6329845258777422,0.9863502220868753,0.6301077863577863,0.6358876532186054,0.9674324178884635,1.509415626525879,1268.171992054537,134.6299143631973,1402.8019064177342
7,8038,DecisionTree,0.6954146554178048,0.9874053100501072,0.6295134815074727,0.7767270070622615,0.99478862436664,58.67427396774292,0.06652941600935088,134.6299143631973,134.69644377920665
7,8038,RandomForest,0.6817623560134969,0.9876705220494101,0.6527578353220775,0.7134642963444002,0.9951201678252064,194.0921115875244,0.5916183343144622,134.6299143631973,135.22153269751175
7,8038,XGBoost,0.7264575423724302,0.9871348388893453,0.5989726478465118,0.922883350921341,0.9951117791881041,248.61971402168274,0.3271630787123895,134.6299143631973,134.9570774419097
